data,hora,ano,mes,id_subsistema,subsistema,valor_demanda,usina_hidraulica_verificada,geracao_pequena_usina_hidraulica_verificada,geracao_usina_termica_verificada,geracao_pequena_usina_termica_verificada,geracao_eolica_verificada,geracao_fotovoltaica_verificada
2023-12-21,01:30:00,2023,12,N,NORTE,758229000000,315438000000,4800,216000000000,21200,31310,0
2023-12-21,04:00:00,2023,12,N,NORTE,720424000000,361804000000,4700,216000000000,21100,26100,0
2023-12-21,03:00:00,2023,12,N,NORTE,734825000000,359821000000,4700,216000000000,21300,27790,0
2023-12-21,05:30:00,2023,12,N,NORTE,699923000000,359392000000,4700,216000000000,21000,22520,0
2023-12-21,06:30:00,2023,12,N,NORTE,668420000000,362159000000,4700,216000000000,21100,18410,7000
2023-12-21,02:30:00,2023,12,N,NORTE,743014000000,348883000000,4800,216000000000,21300,28900,0
2023-12-21,06:00:00,2023,12,N,NORTE,679816000000,362063000000,4700,216000000000,21100,20000,2600
2023-12-21,04:30:00,2023,12,N,NORTE,715508000000,360644000000,4700,216000000000,21000,25510,0
2023-12-21,07:00:00,2023,12,N,NORTE,674511000000,352826000000,4700,216000000000,21100,18790,16100
2023-12-21,07:30:00,2023,12,N,NORTE,688636000000,359592000000,4700,216000000000,21000,20690,25000
2023-12-21,02:00:00,2023,12,N,NORTE,749625000000,337459000000,4800,216000000000,21200,30100,0
2023-12-21,03:30:00,2023,12,N,NORTE,727029000000,362167000000,4700,216000000000,21200,26900,0
2023-12-21,05:00:00,2023,12,N,NORTE,709620000000,358901000000,4700,216000000000,20900,24490,0
2023-12-21,01:30:00,2023,12,NE,NORDESTE,1279512000000,245943000000,8800,124500000000,49300,694740,0
2023-12-21,02:30:00,2023,12,NE,NORDESTE,1255032000000,203407000000,8800,123500000000,49500,702140,0
2023-12-21,03:00:00,2023,12,NE,NORDESTE,1245638000000,378816000000,8800,123400000000,49700,718330,0
2023-12-21,00:00:00,2023,12,S,SUL,1469670000000,1115710000000,151200,52260000000,6800,146690,0
2023-12-21,03:30:00,2023,12,NE,NORDESTE,1237607000000,425064000000,8800,123300000000,49700,750550,0
2023-12-21,10:00:00,2023,12,S,SUL,1795828000000,1150828000000,146900,52100000000,7000,27200,411800
2023-12-21,22:30:00,2023,12,S,SUL,1658483000000,1350875000000,152790,52100000000,5900,41570,0
2023-12-21,05:30:00,2023,12,S,SUL,1283256000000,1022856000000,149700,52100000000,6100,71340,4600
2023-12-21,13:00:00,2023,12,S,SUL,1828495000000,1132895000000,147290,52100000000,7900,26450,461900
2023-12-21,20:30:00,2023,12,S,SUL,1719053000000,1318622000000,153490,52100000000,6700,50630,0
2023-12-21,15:00:00,2023,12,S,SUL,1922329000000,1329529000000,148190,52100000000,7400,36990,348100
2023-12-21,02:30:00,2023,12,S,SUL,1294376000000,971150000000,150700,52100000000,6400,117780,0
2023-12-21,18:30:00,2023,12,S,SUL,1657166000000,1324047000000,152390,52100000000,6900,46280,32600
2023-12-21,14:30:00,2023,12,S,SUL,1918417000000,1292181000000,147390,52100000000,7700,34580,384800
2023-12-21,12:30:00,2023,12,S,SUL,1771566000000,1064866000000,147190,52100000000,7700,24690,475000
2023-12-21,21:00:00,2023,12,S,SUL,1721114000000,1317613000000,153490,52100000000,6900,49390,0
2023-12-21,07:00:00,2023,12,S,SUL,1471363000000,1068863000000,148890,52100000000,6600,53800,141100
2023-12-21,08:30:00,2023,12,S,SUL,1688877000000,1149377000000,147090,52100000000,7000,38510,294800
