data,ano,mes,id_subsistema,subsistema,custo_marginal_operacao_semanal,custo_marginal_operacao_semanal_carga_leve,custo_marginal_operacao_semanal_carga_media,custo_marginal_operacao_semanal_carga_pesada
2005-09-30,2005,9,NE,NORDESTE,1280000000,1280000000,1280000000,1280000000
2005-09-30,2005,9,N,NORTE,2182000000,2123000000,2207000000,2259000000
2005-09-30,2005,9,S,SUL,1729000000,997000000,2123000000,2259000000
2005-09-30,2005,9,SE,SUDESTE,2182000000,2123000000,2207000000,2259000000
2005-01-21,2005,1,S,SUL,747000000,741000000,751000000,744000000
2005-01-21,2005,1,SE,SUDESTE,47000000,0,69000000,93000000
2005-01-21,2005,1,N,NORTE,82000000,83000000,79000000,93000000
2005-01-21,2005,1,NE,NORDESTE,69000000,69000000,69000000,69000000
2005-10-07,2005,10,SE,SUDESTE,3298000000,3161000000,3349000000,3514000000
2005-10-07,2005,10,NE,NORDESTE,1500000000,1500000000,1500000000,1500000000
2005-10-07,2005,10,N,NORTE,3299000000,3161000000,3349000000,3514000000
2005-10-07,2005,10,S,SUL,0,0,0,0
2005-01-28,2005,1,NE,NORDESTE,129000000,129000000,129000000,129000000
2005-01-28,2005,1,N,NORTE,71000000,71000000,71000000,71000000
2005-01-28,2005,1,SE,SUDESTE,0,0,0,0
2005-01-28,2005,1,S,SUL,697000000,692000000,699000000,699000000
2005-10-14,2005,10,NE,NORDESTE,1640000000,1640000000,1640000000,1640000000
2005-10-14,2005,10,N,NORTE,3539000000,3461000000,3579000000,3699000000
2005-10-14,2005,10,SE,SUDESTE,3539000000,3461000000,3579000000,3699000000
2005-10-14,2005,10,S,SUL,0,0,0,0
2005-02-04,2005,2,SE,SUDESTE,0,0,0,0
2005-02-04,2005,2,S,SUL,305000000,303000000,307000000,306000000
2005-02-04,2005,2,NE,NORDESTE,0,0,0,0
2005-02-04,2005,2,N,NORTE,0,0,0,0
2005-10-21,2005,10,S,SUL,0,0,0,0
2005-10-21,2005,10,NE,NORDESTE,1704000000,1704000000,1704000000,1704000000
2005-10-21,2005,10,SE,SUDESTE,3790000000,3668000000,3830000000,3997000000
2005-10-21,2005,10,N,NORTE,3790000000,3668000000,3830000000,3997000000
2005-02-11,2005,2,NE,NORDESTE,0,0,0,0
2005-02-11,2005,2,N,NORTE,0,0,0,0
2005-02-11,2005,2,S,SUL,370000000,368000000,372000000,372000000
2005-02-11,2005,2,SE,SUDESTE,0,0,0,0
2005-10-28,2005,10,N,NORTE,4554000000,4373000000,4626000000,4807000000
2005-10-28,2005,10,NE,NORDESTE,1963000000,1963000000,1963000000,1963000000
2005-10-28,2005,10,S,SUL,0,0,0,0
2005-10-28,2005,10,SE,SUDESTE,4554000000,4373000000,4626000000,4807000000
2005-02-18,2005,2,N,NORTE,0,0,0,0
2005-02-18,2005,2,S,SUL,691000000,675000000,701000000,701000000
2005-02-18,2005,2,NE,NORDESTE,0,0,0,0
2005-02-18,2005,2,SE,SUDESTE,0,0,0,0
2005-11-04,2005,11,N,NORTE,4335000000,4195000000,4428000000,4518000000
2005-11-04,2005,11,NE,NORDESTE,2189000000,2189000000,2189000000,2189000000
2005-11-04,2005,11,SE,SUDESTE,4335000000,4195000000,4428000000,4518000000
2005-11-04,2005,11,S,SUL,0,0,0,0
2005-02-25,2005,2,S,SUL,1132000000,1115000000,1142000000,1142000000
2005-02-25,2005,2,SE,SUDESTE,0,0,0,0
2005-02-25,2005,2,NE,NORDESTE,0,0,0,0
2005-02-25,2005,2,N,NORTE,0,0,0,0
2005-11-11,2005,11,N,NORTE,2917000000,2732000000,3014000000,3059000000
2005-11-11,2005,11,NE,NORDESTE,1908000000,1908000000,1908000000,1908000000
2005-11-11,2005,11,SE,SUDESTE,2917000000,2732000000,3014000000,3059000000
2005-11-11,2005,11,S,SUL,0,0,0,0
2005-03-04,2005,3,SE,SUDESTE,631000000,629000000,629000000,649000000
2005-03-04,2005,3,S,SUL,2317000000,2236000000,2364000000,2364000000
2005-03-04,2005,3,NE,NORDESTE,0,0,0,0
2005-03-04,2005,3,N,NORTE,0,0,0,0
2005-11-18,2005,11,NE,NORDESTE,1947000000,1947000000,1947000000,1947000000
2005-11-18,2005,11,SE,SUDESTE,3016000000,2894000000,3104000000,3143000000
2005-11-18,2005,11,S,SUL,0,0,0,0
2005-11-18,2005,11,N,NORTE,3016000000,2894000000,3104000000,3143000000
2005-03-11,2005,3,SE,SUDESTE,0,0,0,0
2005-03-11,2005,3,S,SUL,2445000000,2309000000,2523000000,2523000000
2005-03-11,2005,3,N,NORTE,0,0,0,0
2005-03-11,2005,3,NE,NORDESTE,0,0,0,0
2005-11-25,2005,11,NE,NORDESTE,2201000000,2201000000,2201000000,2201000000
2005-11-25,2005,11,S,SUL,3191000000,3189000000,3192000000,3192000000
2005-11-25,2005,11,SE,SUDESTE,3425000000,3223000000,3530000000,3596000000
2005-11-25,2005,11,N,NORTE,3425000000,3223000000,3530000000,3596000000
2005-03-18,2005,3,S,SUL,2241000000,2168000000,2279000000,2301000000
2005-03-18,2005,3,NE,NORDESTE,0,0,0,0
2005-03-18,2005,3,N,NORTE,179000000,0,0,1670000000
2005-03-18,2005,3,SE,SUDESTE,1645000000,1625000000,1653000000,1670000000
2005-12-02,2005,12,SE,SUDESTE,3013000000,2981000000,3019000000,3087000000
2005-12-02,2005,12,NE,NORDESTE,1923000000,1923000000,1923000000,1923000000
2005-12-02,2005,12,N,NORTE,3013000000,2981000000,3019000000,3087000000
2005-12-02,2005,12,S,SUL,3005000000,2981000000,3019000000,3019000000
2005-03-25,2005,3,NE,NORDESTE,0,0,0,0
2005-03-25,2005,3,S,SUL,2260000000,2200000000,2300000000,2341000000
2005-03-25,2005,3,N,NORTE,158000000,3000000,3000000,1744000000
2005-03-25,2005,3,SE,SUDESTE,1720000000,1718000000,1718000000,1744000000
2005-12-09,2005,12,N,NORTE,1500000000,1467000000,1512000000,1549000000
2005-12-09,2005,12,NE,NORDESTE,536000000,536000000,536000000,536000000
2005-12-09,2005,12,SE,SUDESTE,1500000000,1467000000,1512000000,1549000000
2005-12-09,2005,12,S,SUL,1496000000,1467000000,1512000000,1512000000
2005-04-01,2005,4,S,SUL,2723000000,2617000000,2774000000,2831000000
2005-04-01,2005,4,NE,NORDESTE,0,0,0,0
2005-04-01,2005,4,SE,SUDESTE,0,0,0,0
2005-04-01,2005,4,N,NORTE,0,0,0,0
2005-12-16,2005,12,S,SUL,689000000,671000000,697000000,704000000
2005-12-16,2005,12,SE,SUDESTE,689000000,671000000,697000000,704000000
2005-12-16,2005,12,NE,NORDESTE,360000000,360000000,360000000,360000000
2005-12-16,2005,12,N,NORTE,689000000,671000000,697000000,704000000
2005-04-08,2005,4,S,SUL,12433000000,12178000000,12545000000,12739000000
