data_inicio,ano,mes,data_fim,ano_pmo,mes_pmo,numero_revisao,semana_operativa,id_modelo_usina,id_subsistema,subsistema,usina,custo_variavel_unitario
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,140,N,NORTE,UTE MAUA 3,147.13
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,447,N,NORTE,N.VEN2_L7,257.06
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,207,N,NORTE,PONTA NEGR,0
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,212,N,NORTE,MARANHAO3,94.86
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,70,N,NORTE,GERAMAR2,1372.71
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,209,N,NORTE,TAMBAQUI,0
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,446,N,NORTE,N.VEN2_L22,257.06
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,436,N,NORTE,MARANIVL22,300.46
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,201,N,NORTE,APARECIDA,147.13
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,73,N,NORTE,GERAMAR1,1372.71
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,437,N,NORTE,MARANIVL_7,300.45
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,203,N,NORTE,C. ROCHA,0
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,176,N,NORTE,P. ITAQUI,860.04
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,422,N,NORTE,MARAN_VL_7,300.45
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,204,N,NORTE,JARAQUI,0
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,421,N,NORTE,MARAN_VL22,300.46
2022-04-30,2022,4,2022-05-06,2022,4,0,PMO Maio 2022,205,N,NORTE,MANAUARA,0
2022-03-26,2022,3,2022-04-01,2022,3,0,PMO Abril 2022,447,N,NORTE,N.VEN2_L7,257.06
2022-03-26,2022,3,2022-04-01,2022,3,0,PMO Abril 2022,207,N,NORTE,PONTA NEGR,0
2022-03-26,2022,3,2022-04-01,2022,3,0,PMO Abril 2022,176,N,NORTE,P. ITAQUI,565.94
2022-03-26,2022,3,2022-04-01,2022,3,0,PMO Abril 2022,205,N,NORTE,MANAUARA,0
2022-03-26,2022,3,2022-04-01,2022,3,0,PMO Abril 2022,422,N,NORTE,MARAN_VL_7,270.73
2022-03-26,2022,3,2022-04-01,2022,3,0,PMO Abril 2022,201,N,NORTE,APARECIDA,134.62
2022-03-26,2022,3,2022-04-01,2022,3,0,PMO Abril 2022,436,N,NORTE,MARANIVL22,270.74
2022-03-26,2022,3,2022-04-01,2022,3,0,PMO Abril 2022,209,N,NORTE,TAMBAQUI,0
